approach,system,scope,seed,n_train,n_test,macro_f1,accuracy,precision,recall,fpr,roc_auc,mcc,variant
A,baseline,overall,42,10831,2322,0.7502333715704157,0.7536606373815676,0.737956204379562,0.8259803921568627,0.32695810564663025,0.8308101777444432,0.5065625308666025,raw
A,baseline,Business,42,10831,144,0.7762237762237763,0.7777777777777778,0.7654320987654321,0.8266666666666667,0.2753623188405797,0.857584541062802,0.5551799972839887,raw
A,baseline,Conflict,42,10831,248,0.6466600068781423,0.6491935483870968,0.6066666666666667,0.7647058823529411,0.4573643410852713,0.7372809588951859,0.3140732389673356,raw
A,baseline,Entertainment,42,10831,482,0.8067710742527369,0.8112033195020747,0.7785234899328859,0.9027237354085603,0.29333333333333333,0.8984176394293126,0.6258011933334722,raw
A,baseline,Health,42,10831,103,0.7958085528178986,0.7961165048543689,0.7222222222222222,0.8666666666666667,0.25862068965517243,0.8249042145593869,0.6038954440137339,raw
A,baseline,Politics,42,10831,789,0.7401173243869874,0.7401774397972116,0.7198067632850241,0.7700258397932817,0.2885572139303483,0.8098782572923496,0.4819707660576696,raw
A,baseline,Society,42,10831,540,0.742489270386266,0.7648148148148148,0.7771739130434783,0.8640483383685801,0.3923444976076555,0.8324346983911302,0.49313794332887567,raw
A,baseline,Uncategorized,42,10831,16,0.43529411764705883,0.4375,0.6,0.3,0.3333333333333333,0.55,-0.034815531191139566,raw
A,ceiling,overall,42,10831,2306,0.7521224041716219,0.7554206418039896,0.7393225331369662,0.8270181219110379,0.3241758241758242,0.825129291356639,0.5102680910492996,raw
A,ceiling,Business,42,675,144,0.7428571428571429,0.75,0.7096774193548387,0.88,0.391304347826087,0.8498550724637681,0.5104663163006462,raw
A,ceiling,Conflict,42,1152,248,0.6436781609195402,0.6451612903225806,0.6068965517241379,0.7394957983193278,0.4418604651162791,0.717998827437952,0.3017520357650713,raw
A,ceiling,Entertainment,42,2250,482,0.807934857934858,0.8091286307053942,0.8136882129277566,0.8326848249027238,0.21777777777777776,0.899576307825335,0.6161229119707984,raw
A,ceiling,Health,42,484,103,0.7863876319758673,0.7864077669902912,0.7017543859649122,0.8888888888888888,0.29310344827586204,0.8256704980842913,0.5944205237212745,raw
A,ceiling,Politics,42,3676,789,0.7480777913952138,0.7490494296577946,0.7095343680709535,0.8268733850129198,0.32587064676616917,0.7927224343399284,0.5061298920312793,raw
A,ceiling,Society,42,2517,540,0.7458823529411764,0.762962962962963,0.7908309455587392,0.8338368580060423,0.3492822966507177,0.8235591725812748,0.49362873066719654,raw
A,matched,Business,42,675,144,0.8009085522417538,0.8055555555555556,0.7582417582417582,0.92,0.3188405797101449,0.8490821256038646,0.6227105205431618,raw
A,matched,Business,43,675,144,0.763157894736842,0.7638888888888888,0.7662337662337663,0.7866666666666666,0.2608695652173913,0.8417391304347825,0.5266118175706049,raw
A,matched,Business,44,675,144,0.7756572541382668,0.7777777777777778,0.7590361445783133,0.84,0.2898550724637681,0.8233816425120772,0.556196595737465,raw
A,matched,Business,45,675,144,0.7823606845107504,0.7847222222222222,0.7619047619047619,0.8533333333333334,0.2898550724637681,0.8351690821256038,0.5709749752486956,raw
A,matched,Business,46,675,144,0.7842123072460966,0.7847222222222222,0.7894736842105263,0.8,0.2318840579710145,0.8618357487922704,0.5685005652747654,raw
A,matched,Conflict,42,1152,248,0.6366300366300366,0.6451612903225806,0.592814371257485,0.8319327731092437,0.5271317829457365,0.6933098820923718,0.324701252843845,raw
A,matched,Conflict,43,1152,248,0.6227513227513227,0.6290322580645161,0.5838509316770186,0.7899159663865546,0.5193798449612403,0.6865350791479382,0.2832181169506422,raw
A,matched,Conflict,44,1152,248,0.6525064701712741,0.657258064516129,0.6075949367088608,0.8067226890756303,0.4806201550387597,0.6921373200442967,0.3388228656316816,raw
A,matched,Conflict,45,1152,248,0.6518177163338454,0.657258064516129,0.60625,0.8151260504201681,0.4883720930232558,0.7044492215490847,0.3411833778522189,raw
A,matched,Conflict,46,1152,248,0.6412178601959624,0.6451612903225806,0.6,0.7815126050420168,0.4806201550387597,0.7066640609732264,0.31050764903391764,raw
A,matched,Entertainment,42,2250,482,0.7846868578575896,0.7925311203319502,0.7476340694006309,0.9221789883268483,0.35555555555555557,0.900838737570255,0.5957729052632842,raw
A,matched,Entertainment,43,2250,482,0.7846868578575896,0.7925311203319502,0.7476340694006309,0.9221789883268483,0.35555555555555557,0.8822827496757458,0.5957729052632842,raw
A,matched,Entertainment,44,2250,482,0.7543422862684077,0.7655601659751037,0.7195121951219512,0.9182879377431906,0.4088888888888889,0.8838910505836575,0.5450278168793246,raw
A,matched,Entertainment,45,2250,482,0.7855592455611331,0.7946058091286307,0.7438271604938271,0.9377431906614786,0.3688888888888889,0.874984868136619,0.6045856276066477,raw
A,matched,Entertainment,46,2250,482,0.773353216987089,0.7821576763485477,0.7375,0.9182879377431906,0.37333333333333335,0.8736705577172504,0.5755534355884419,raw
A,matched,Health,42,484,103,0.7667924528301887,0.7669902912621359,0.6721311475409836,0.9111111111111111,0.3448275862068966,0.8065134099616857,0.5715636720006189,raw
A,matched,Health,43,484,103,0.7084905660377359,0.7087378640776699,0.6229508196721312,0.8444444444444444,0.39655172413793105,0.7639846743295019,0.45206896655529333,raw
A,matched,Health,44,484,103,0.7564551215359879,0.7572815533980582,0.65625,0.9333333333333333,0.3793103448275862,0.7862068965517242,0.5665337000081425,raw
A,matched,Health,45,484,103,0.7469765684051399,0.7475728155339806,0.6792452830188679,0.8,0.29310344827586204,0.7731800766283525,0.5030563710229754,raw
A,matched,Health,46,484,103,0.7374681393372982,0.7378640776699029,0.6666666666666666,0.8,0.3103448275862069,0.7980842911877395,0.48631277722088967,raw
A,matched,Politics,42,3676,789,0.7372103163812536,0.7376425855513308,0.7073732718894009,0.7932816537467701,0.31592039800995025,0.7842377260981911,0.4796855489315888,raw
A,matched,Politics,43,3676,789,0.7386039061293809,0.7389100126742713,0.710955710955711,0.7881136950904393,0.30845771144278605,0.7875159088279533,0.48141373766782103,raw
A,matched,Politics,44,3676,789,0.7416748787541068,0.7427122940430925,0.7035398230088495,0.8217054263565892,0.3333333333333333,0.7895792356049212,0.4935545731963628,raw
A,matched,Politics,45,3676,789,0.7408750193189428,0.7414448669201521,0.7084282460136674,0.8036175710594315,0.31840796019900497,0.7883129571779346,0.48823804886081873,raw
A,matched,Politics,46,3676,789,0.7499054701792607,0.7503168567807351,0.7188940092165899,0.8062015503875969,0.3034825870646766,0.7961163176366233,0.5051667243242384,raw
A,matched,Society,42,2517,540,0.7082479164670945,0.7388888888888889,0.7473958333333334,0.8670694864048338,0.46411483253588515,0.8062273233206608,0.4330274270663005,raw
A,matched,Society,43,2517,540,0.7282063695148518,0.7574074074074074,0.7590673575129534,0.8851963746223565,0.4449760765550239,0.8128622847974096,0.4749011165945375,raw
