approach,system,scope,seed,n_train,n_test,macro_f1,accuracy,precision,recall,fpr,roc_auc,mcc
B,clustered_routed,overall,42,10831,2322,0.7440158449371719,0.7472006890611542,0.7347089167280766,0.8145424836601307,0.32786885245901637,0.8150916104146576,0.4930331428222472
B,clustered_routed,cluster_0,42,2716,475,0.694323628617078,0.7557894736842106,0.7944444444444444,0.8719512195121951,0.5034013605442177,0.7759664841546375,0.3977330384818731
B,clustered_routed,cluster_1,42,2618,581,0.6101006624795664,0.7986230636833046,0.3448275862068966,0.3333333333333333,0.11608961303462322,0.6861054537225617,0.22028561171772634
B,clustered_routed,cluster_2,42,507,98,0.759921607055365,0.8469387755102041,0.8352941176470589,0.9861111111111112,0.5384615384615384,0.780982905982906,0.5826529604231855
B,clustered_routed,cluster_3,42,564,131,0.5812020460358056,0.6183206106870229,0.6741573033707865,0.7407407407407407,0.58,0.6029629629629629,0.16731459574475302
B,clustered_routed,cluster_4,42,387,74,0.7457044673539519,0.7702702702702703,0.7692307692307693,0.8888888888888888,0.41379310344827586,0.7417624521072796,0.5074268239065733
B,clustered_routed,cluster_5,42,579,120,0.497907949790795,0.9916666666666667,1.0,0.9916666666666667,,,
B,clustered_routed,cluster_6,42,450,125,0.5084694494857834,0.584,0.5980392156862745,0.8472222222222222,0.7735849056603774,0.5133647798742138,0.09391568554065133
B,clustered_routed,cluster_7,42,298,54,1.0,1.0,0.0,0.0,0.0,,
B,clustered_routed,cluster_8,42,334,72,0.46798029556650245,0.6666666666666666,0.7076923076923077,0.9019607843137255,0.9047619047619048,0.5639589169000934,-0.004297548839972763
B,clustered_routed,cluster_9,42,1015,233,0.637280617576184,0.6866952789699571,0.76875,0.7735849056603774,0.5,0.6766105728369879,0.27459026314324825
B,clustered_routed,cluster_10,42,1363,359,0.6399848753863353,0.6601671309192201,0.6764705882352942,0.7815533980582524,0.5032679738562091,0.6876388095691351,0.2911311136903282
